date,ticker,actual_price,fitted_price
2016-01-04,AMD,2.77,5.165525109370138
2016-01-05,AMD,2.75,5.172265763366112
2016-01-06,AMD,2.51,5.179015213450659
2016-01-07,AMD,2.28,5.185773471102031
2016-01-08,AMD,2.14,5.192540547813514
2016-01-11,AMD,2.34,5.212894807466415
2016-01-12,AMD,2.39,5.219697275651257
2016-01-13,AMD,2.25,5.226508620587935
2016-01-14,AMD,2.21,5.23332885385995
2016-01-15,AMD,2.03,5.240157987065996
2016-01-19,AMD,1.95,5.267563751733823
2016-01-20,AMD,1.8,5.274437559120377
2016-01-21,AMD,2.09,5.2813203363514685
2016-01-22,AMD,2.02,5.288212095132142
2016-01-25,AMD,2.12,5.308941378051118
2016-01-26,AMD,2.07,5.315869180386149
2016-01-27,AMD,2.13,5.322806023025418
2016-01-28,AMD,2.08,5.32975191776588
2016-01-29,AMD,2.2,5.336706876419923
2016-02-01,AMD,2.14,5.357626254218486
2016-02-02,AMD,1.99,5.364617586959057
2016-02-03,AMD,2.07,5.371618042906675
2016-02-04,AMD,2.09,5.378627633966466
2016-02-05,AMD,1.98,5.385646372059149
2016-02-08,AMD,1.93,5.406757587974768
2016-02-09,AMD,1.9,5.41381303371727
2016-02-10,AMD,1.84,5.420877686329845
2016-02-11,AMD,1.86,5.427951557826804
2016-02-12,AMD,1.83,5.435034660238192
2016-02-16,AMD,1.83,5.4634596201778765
2016-02-17,AMD,1.9,5.470589058161605
2016-02-18,AMD,1.91,5.477727799570176
2016-02-19,AMD,1.91,5.48487585654391
2016-02-22,AMD,2.01,5.506376042497196
2016-02-23,AMD,1.97,5.513561483452051
2016-02-24,AMD,2.02,5.520756300911772
2016-02-25,AMD,2.03,5.527960507112046
2016-02-26,AMD,2.07,5.535174114304528
2016-02-29,AMD,2.14,5.556871464591741
2016-03-01,AMD,2.18,5.5641227985897155
2016-03-02,AMD,2.32,5.571383595078415
2016-03-03,AMD,2.46,5.578653866405757
2016-03-04,AMD,2.37,5.585933624935744
2016-03-07,AMD,2.47,5.607829947623793
2016-03-08,AMD,2.3,5.615147778927464
2016-03-09,AMD,2.26,5.6224751594962665
2016-03-10,AMD,2.26,5.629812101791325
2016-03-11,AMD,2.52,5.637158618290042
2016-03-14,AMD,2.72,5.659255738026464
2016-03-15,AMD,2.49,5.666640676439709
2016-03-16,AMD,2.63,5.6740352516882355
2016-03-17,AMD,2.8,5.681439476347459
2016-03-18,AMD,2.93,5.688853363009187
2016-03-21,AMD,2.8,5.711153121174123
2016-03-22,AMD,2.79,5.718605782092967
2016-03-23,AMD,2.68,5.726068168220293
2016-03-24,AMD,2.79,5.733540292246816
2016-03-28,AMD,2.78,5.763526421739602
2016-03-29,AMD,2.86,5.771047426203443
2016-03-30,AMD,2.86,5.778578245059377
2016-03-31,AMD,2.85,5.786118891114509
2016-04-01,AMD,2.83,5.793669377192648
2016-04-04,AMD,2.83,5.8163800040544915
2016-04-05,AMD,2.76,5.823969978797875
2016-04-06,AMD,2.8,5.83156985793482
2016-04-07,AMD,2.64,5.839179654389868
2016-04-08,AMD,2.74,5.846799381104433
2016-04-11,AMD,2.76,5.869718272472825
2016-04-12,AMD,2.81,5.877377849977709
2016-04-13,AMD,2.8,5.885047422702925
2016-04-14,AMD,2.72,5.892727003691591
2016-04-15,AMD,2.7,5.900416606003778
2016-04-18,AMD,2.76,5.923545671738151
2016-04-19,AMD,2.62,5.931275490286553
2016-04-20,AMD,2.7,5.939015395715006
2016-04-21,AMD,2.62,5.946765401186213
2016-04-22,AMD,3.99,5.954525519880044
2016-04-25,AMD,3.45,5.97786668735391
2016-04-26,AMD,3.66,5.985667391081113
2016-04-27,AMD,3.73,5.993478274188635
2016-04-28,AMD,3.61,6.001299349959899
2016-04-29,AMD,3.55,6.009130631695605
2016-05-02,AMD,3.74,6.032685845957182
2016-05-03,AMD,3.6,6.040558084905416
2016-05-04,AMD,3.6,6.04844059658251
2016-05-05,AMD,3.66,6.056333394393687
2016-05-06,AMD,3.68,6.064236491761634
2016-05-09,AMD,3.65,6.088007715695894
2016-05-10,AMD,3.64,6.095952145868528
2016-05-11,AMD,3.65,6.103906942974592
2016-05-12,AMD,3.59,6.11187212054225
2016-05-13,AMD,3.67,6.119847692117234
2016-05-16,AMD,3.79,6.143836906609552
2016-05-17,AMD,3.79,6.15185419002572
2016-05-18,AMD,3.84,6.159881935443785
2016-05-19,AMD,3.77,6.16792015651596
2016-05-20,AMD,3.87,6.175968866912208
2016-05-23,AMD,4.04,6.200178071013318
2016-05-24,AMD,4.2,6.208268875763122
2016-05-25,AMD,4.18,6.216370238455093
2016-05-26,AMD,4.35,6.2244821728666295
2016-05-27,AMD,4.6,6.2326046927930845
2016-05-31,AMD,4.57,6.265200904185935
2016-06-01,AMD,4.43,6.2733765592483355
2016-06-02,AMD,4.24,6.28156288297671
2016-06-03,AMD,4.16,6.289759889292929
2016-06-06,AMD,4.47,6.314415143260068
2016-06-07,AMD,4.51,6.322655019510114
2016-06-08,AMD,4.46,6.3309056482303525
2016-06-09,AMD,4.52,6.339167043452017
2016-06-10,AMD,4.32,6.347439219224625
2016-06-13,AMD,4.4,6.3723205706188875
2016-06-14,AMD,4.39,6.380636009457815
2016-06-15,AMD,4.42,6.388962299370936
2016-06-16,AMD,4.75,6.397299454518099
2016-06-17,AMD,5.26,6.405647489077717
2016-06-20,AMD,5.1,6.4307570112927115
2016-06-21,AMD,5.45,6.439148705656305
2016-06-22,AMD,5.02,6.447551350602272
2016-06-23,AMD,5.21,6.455964960420354
2016-06-24,AMD,4.88,6.464389549418941
2016-06-27,AMD,4.72,6.489729334862064
2016-06-28,AMD,5.12,6.498197984040544
2016-06-29,AMD,5.13,6.506677684222099
2016-06-30,AMD,5.14,6.515168449827549
2016-07-01,AMD,5.07,6.523670295296497
2016-07-05,AMD,4.96,6.557788765259554
2016-07-06,AMD,5.04,6.56634622730056
2016-07-07,AMD,5.02,6.5749148562393245
2016-07-08,AMD,5.1,6.583494666647855
2016-07-11,AMD,5.01,6.60930133269783
2016-07-12,AMD,5.14,6.6179260150864785
2016-07-13,AMD,5.09,6.626561952090791
2016-07-14,AMD,5.17,6.63520915839724
2016-07-15,AMD,5.14,6.643867648711536
2016-07-18,AMD,5.51,6.669910971045969
2016-07-19,AMD,5.41,6.678614744832339
2016-07-20,AMD,5.41,6.687329876443215
2016-07-21,AMD,5.22,6.696056380699728
2016-07-22,AMD,5.84,6.704794272442419
2016-07-25,AMD,6.7,6.731076421283422
2016-07-26,AMD,6.98,6.739860011763694
2016-07-27,AMD,6.85,6.748655064223753
2016-07-28,AMD,6.82,6.757461593620668
2016-07-29,AMD,6.86,6.766279614931051
2016-08-01,AMD,6.64,6.792802780402405
2016-08-02,AMD,6.26,6.801666919524006
2016-08-03,AMD,6.3,6.810542625735792
2016-08-04,AMD,6.47,6.81942991413203
2016-08-05,AMD,6.61,6.828328799826659
2016-08-08,AMD,6.68,6.855095192136383
2016-08-09,AMD,6.6,6.864040618558936
2016-08-10,AMD,6.49,6.872997718145994
2016-08-11,AMD,6.58,6.881966506130233
2016-08-12,AMD,6.73,6.890946997764193
2016-08-15,AMD,6.95,6.9179588473887215
2016-08-16,AMD,6.78,6.926986306545593
2016-08-17,AMD,6.68,6.936025545914043
2016-08-18,AMD,7.04,6.945076580866411
2016-08-19,AMD,7.62,6.954139426795145
2016-08-22,AMD,7.58,6.981398984665136
2016-08-23,AMD,7.67,6.990509228825619
2016-08-24,AMD,7.43,6.999631361226414
2016-08-25,AMD,7.47,7.008765397380792
2016-08-26,AMD,7.67,7.0179113528223915
2016-08-29,AMD,7.59,7.045420890510349
2016-08-30,AMD,7.49,7.054614678842301
2016-08-31,AMD,7.4,7.063820464433935
2016-09-01,AMD,7.35,7.073038262940832
2016-09-02,AMD,7.51,7.082268090039007
2016-09-06,AMD,7.34,7.119307998581678
2016-09-07,AMD,6.84,7.1285982044936045
2016-09-08,AMD,6.23,7.13790053348349
2016-09-09,AMD,5.9,7.147215001371117
2016-09-12,AMD,5.94,7.1752313969280355
2016-09-13,AMD,5.74,7.184594579017708
2016-09-14,AMD,6.04,7.193969979414206
2016-09-15,AMD,6.02,7.20335761406159
2016-09-16,AMD,6.05,7.212757498924739
